trial_number,exp_folder,a,b,c,d,w1,w2,w3,w4,fid_score,state
0,00000-cifar10-4-2-dpmpp-3-poly7.0-afs,0.5214345738929326,0.9010331729673894,0.35733936081549655,0.23704187931081733,0.5214345738929326,1.422467746860322,1.7798071076758184,2.016848986986636,4.75948465733303,COMPLETE
1,00001-cifar10-4-2-dpmpp-3-poly7.0-afs,0.2752816445697047,0.36734060995759243,0.08982052129999274,0.6155907244788834,0.2752816445697047,0.6426222545272972,0.7324427758272899,1.3480335003061734,4.568842970339417,COMPLETE
2,00002-cifar10-4-2-dpmpp-3-poly7.0-afs,0.6665321615944915,0.80051753291427,0.9227768130914088,0.7332228269645313,0.6665321615944915,1.4670496945087614,2.38982650760017,3.1230493345647012,4.724249847536093,COMPLETE
3,00003-cifar10-4-2-dpmpp-3-poly7.0-afs,0.6468989971843006,0.5254456568913537,0.7847133899522196,0.31193187426931945,0.6468989971843006,1.1723446540756544,1.957058044027874,2.2689899182971933,4.732301032254901,COMPLETE
4,00004-cifar10-4-2-dpmpp-3-poly7.0-afs,0.7694917025625719,0.9514929028861738,0.0955850481528292,0.8253002258066996,0.7694917025625719,1.7209846054487459,1.816569653601575,2.6418698794082744,4.779179089078816,COMPLETE
5,00005-cifar10-4-2-dpmpp-3-poly7.0-afs,0.20428457469096073,0.03497032462156935,0.9197694681298696,0.04018643225060259,0.20428457469096073,0.23925489931253008,1.1590243674423997,1.1992107996930024,4.536722026075779,COMPLETE
6,00006-cifar10-4-2-dpmpp-3-poly7.0-afs,0.904487754817614,0.5178845731395884,0.23783436046669026,0.5784281747347888,0.904487754817614,1.4223723279572025,1.6602066884238926,2.2386348631586817,4.799573210282303,COMPLETE
7,00007-cifar10-4-2-dpmpp-3-poly7.0-afs,0.9598398008238161,0.38751402109152666,0.15558659933717822,0.19306835585769466,0.9598398008238161,1.347353821915343,1.502940421252521,1.6960087771102157,4.854008157934793,COMPLETE
8,00008-cifar10-4-2-dpmpp-3-poly7.0-afs,0.41772646805492164,0.43546023985341986,0.3858320314985417,0.10106808943057188,0.41772646805492164,0.8531867079083415,1.2390187394068832,1.340086828837455,4.6811205060891155,COMPLETE
9,00009-cifar10-4-2-dpmpp-3-poly7.0-afs,0.49046640831991006,0.13797187076007777,0.8895325061978254,0.7494671124778659,0.49046640831991006,0.6284382790799878,1.5179707852778133,2.2674378977556793,4.581914835836763,COMPLETE
10,00010-cifar10-4-2-dpmpp-3-poly7.0-afs,0.006233300291375116,0.036161782905462375,0.6538672437135049,0.000899525989785932,0.006233300291375116,0.04239508319683749,0.6962623269103424,0.6971618529001283,4.446654219167107,COMPLETE
11,00011-cifar10-4-2-dpmpp-3-poly7.0-afs,0.01477071037362817,0.009100963404357239,0.6591059918407404,0.3834525553822953,0.01477071037362817,0.023871673777985408,0.6829776656187257,1.066430221001021,4.438931843310913,COMPLETE
12,00012-cifar10-4-2-dpmpp-3-poly7.0-afs,0.005178660904115982,0.1858929391738981,0.6267217810824077,0.4142891069172735,0.005178660904115982,0.19107160007801408,0.8177933811604218,1.2320824880776953,4.459749241812137,COMPLETE
13,00013-cifar10-4-2-dpmpp-3-poly7.0-afs,0.019956695023658762,8.276384983714469e-05,0.631564584324081,0.9658945547778515,0.019956695023658762,0.020039458873495907,0.6516040431975769,1.6174985979754284,4.443925905277622,COMPLETE
14,00014-cifar10-4-2-dpmpp-3-poly7.0-afs,0.1776369044467995,0.23829826880107785,0.564704210707055,0.9778965399372131,0.1776369044467995,0.4159351732478773,0.9806393839549323,1.9585359238921454,4.495822831617254,COMPLETE
15,00015-cifar10-4-2-dpmpp-3-poly7.0-afs,0.11196409557722795,0.27359414459054393,0.723829025284031,0.4111136800360242,0.11196409557722795,0.38555824016777185,1.1093872654518029,1.520500945487827,4.5174088767453515,COMPLETE
16,00016-cifar10-4-2-dpmpp-3-poly7.0-afs,0.33671906075833136,0.7044783330396581,0.4687150194297884,0.960406906859552,0.33671906075833136,1.0411973937979895,1.509912413227778,2.47031932008733,4.627890139611278,COMPLETE
